DEPARTAMENTO,2013,2014,2015,2016,2017,2018,2019,2020
AMAZONAS,0,0,2,2,1,1,0,0
ANTIOQUIA,7,15,7,11,12,9,11,0
ARAUCA,0,0,1,1,1,0,0,0
ATLÁNTICO,1,0,1,1,2,4,5,1
BOGOTÁ D.C.,2,8,6,6,18,23,8,3
BOLÍVAR,0,0,0,1,0,0,3,0
BOYACÁ,0,1,0,0,0,1,0,0
CALDAS,3,4,6,3,6,1,3,3
CAQUETÁ,0,0,2,0,0,0,0,0
CASANARE,0,0,1,0,0,1,0,0
CAUCA,6,3,0,0,1,0,2,0
CÉSAR,1,0,1,0,1,0,0,1
CHOCÓ,1,0,1,0,0,0,0,0
CÓRDOBA,1,0,0,0,0,0,1,0
CUNDINAMARCA,3,2,3,0,2,1,3,0
EXTRANJERO,0,2,7,5,8,16,12,21
GUAINÍA,0,0,0,0,0,0,0,0
GUAJIRA,0,0,0,0,0,0,0,0
GUAVIARE,0,0,0,0,0,0,0,0
HUILA,0,0,1,1,0,1,0,0
MAGDALENA,0,0,0,0,0,0,1,0
META,1,0,0,2,4,0,1,2
NARIÑO,1,0,2,1,0,1,0,0
NORTE DE SANTANDER,0,0,3,2,2,2,6,0
PUTUMAYO,1,2,0,1,0,0,0,1
QUINDIO,5,0,4,1,4,3,5,0
RISARALDA,12,5,8,7,6,5,3,2
SAN ANDRÉS,0,0,0,0,0,0,0,0
SANTANDER,0,0,2,4,2,5,3,0
SUCRE,0,1,0,1,0,0,1,0
TOLIMA,1,0,0,3,1,1,1,1
VALLE DEL CAUCA,16,13,12,11,5,11,7,2
VAUPÉS,0,0,0,0,0,0,0,0
VICHADA,0,0,0,0,0,0,0,0
NO REGISTRA,0,1,4,0,3,2,0,11
TOTAL,62,57,74,64,79,88,76,48
